date,laptop,headphones,smartphone,blender,coffee maker,isPartial
2009-12-27,94,17,3,8,7,False
2010-01-03,74,13,4,7,6,False
2010-01-10,72,12,3,7,5,False
2010-01-17,74,12,3,6,4,False
2010-01-24,70,12,3,7,4,False
2010-01-31,65,11,3,7,4,False
2010-02-07,67,11,3,7,4,False
2010-02-14,68,11,3,7,4,False
2010-02-21,68,11,3,7,4,False
2010-02-28,65,11,3,6,4,False
2010-03-07,62,11,3,6,4,False
2010-03-14,62,10,3,7,3,False
2010-03-21,60,10,3,7,3,False
2010-03-28,59,10,3,7,3,False
2010-04-04,59,10,3,7,3,False
2010-04-11,57,10,3,7,3,False
2010-04-18,59,10,3,6,3,False
2010-04-25,58,10,3,7,3,False
2010-05-02,56,10,3,7,3,False
2010-05-09,58,11,3,7,3,False
2010-05-16,59,10,3,7,4,False
2010-05-23,59,10,3,6,3,False
2010-05-30,61,11,3,6,3,False
2010-06-06,61,11,4,7,3,False
2010-06-13,60,10,4,7,3,False
2010-06-20,62,10,4,7,3,False
2010-06-27,63,10,4,7,3,False
2010-07-04,61,9,4,6,3,False
2010-07-11,64,10,4,6,3,False
2010-07-18,60,10,5,6,3,False
2010-07-25,69,10,5,6,3,False
2010-08-01,72,10,5,6,3,False
2010-08-08,69,10,5,6,3,False
2010-08-15,69,11,5,6,3,False
2010-08-22,70,10,4,6,3,False
2010-08-29,65,10,4,6,3,False
2010-09-05,63,11,4,6,3,False
2010-09-12,58,10,4,5,3,False
2010-09-19,57,11,4,6,3,False
2010-09-26,55,11,4,5,3,False
2010-10-03,56,10,4,6,3,False
2010-10-10,54,10,5,6,3,False
2010-10-17,56,11,5,6,3,False
2010-10-24,55,10,4,6,4,False
2010-10-31,57,11,5,6,4,False
2010-11-07,59,14,5,6,5,False
2010-11-14,65,16,5,6,5,False
2010-11-21,100,21,6,7,8,False
2010-11-28,82,22,6,7,8,False
2010-12-05,71,22,6,7,8,False
2010-12-12,73,24,6,7,8,False
2010-12-19,75,25,6,7,8,False
2010-12-26,82,21,6,7,8,False
2011-01-02,74,20,6,7,6,False
2011-01-09,69,19,6,7,6,False
2011-01-16,65,17,6,7,6,False
2011-01-23,63,16,5,6,5,False
2011-01-30,65,16,5,6,5,False
2011-02-06,64,17,5,6,5,False
2011-02-13,63,17,5,6,4,False
2011-02-20,66,17,5,6,4,False
2011-02-27,62,16,5,6,4,False
2011-03-06,57,16,5,6,4,False
2011-03-13,56,14,5,6,4,False
2011-03-20,60,15,5,6,4,False
2011-03-27,60,15,5,7,4,False
2011-04-03,55,14,5,6,4,False
2011-04-10,55,14,4,6,4,False
2011-04-17,53,14,5,7,4,False
2011-04-24,52,14,5,6,4,False
2011-05-01,51,14,5,7,4,False
2011-05-08,54,14,5,6,4,False
2011-05-15,57,14,6,6,4,False
2011-05-22,54,14,5,6,4,False
2011-05-29,62,15,5,6,4,False
2011-06-05,59,15,5,7,4,False
2011-06-12,62,16,6,7,5,False
2011-06-19,61,14,6,7,4,False
2011-06-26,63,14,6,7,4,False
2011-07-03,58,13,6,7,4,False
2011-07-10,60,14,6,7,4,False
2011-07-17,62,14,6,7,4,False
2011-07-24,65,14,5,7,4,False
2011-07-31,67,14,6,7,4,False
2011-08-07,65,14,6,7,4,False
2011-08-14,68,15,6,7,4,False
2011-08-21,65,14,6,6,4,False
2011-08-28,65,15,6,7,4,False
2011-09-04,63,15,6,6,5,False
2011-09-11,59,14,5,6,4,False
2011-09-18,55,15,6,6,4,False
2011-09-25,54,15,6,6,4,False
2011-10-02,53,15,6,6,4,False
2011-10-09,55,17,6,6,4,False
2011-10-16,54,17,6,7,4,False
2011-10-23,54,17,6,6,5,False
2011-10-30,55,17,6,6,5,False
2011-11-06,56,19,6,7,6,False
2011-11-13,61,23,6,7,6,False
2011-11-20,95,32,6,9,10,False
2011-11-27,74,31,6,9,10,False
2011-12-04,66,33,6,8,10,False
2011-12-11,67,35,6,9,9,False
2011-12-18,70,34,6,9,9,False
2011-12-25,76,32,6,9,8,False
2012-01-01,61,22,5,8,6,False
2012-01-08,59,22,6,8,5,False
2012-01-15,56,20,5,8,5,False
2012-01-22,57,19,5,7,5,False
2012-01-29,54,21,5,8,4,False
2012-02-05,58,18,5,7,4,False
2012-02-12,61,19,5,7,4,False
2012-02-19,56,18,6,7,4,False
2012-02-26,55,19,6,8,4,False
2012-03-04,56,18,6,8,4,False
2012-03-11,49,17,5,7,4,False
2012-03-18,47,16,5,7,4,False
2012-03-25,49,16,5,7,4,False
2012-04-01,47,17,7,7,4,False
2012-04-08,48,16,6,7,4,False
2012-04-15,47,15,6,7,4,False
2012-04-22,47,16,6,7,4,False
2012-04-29,48,16,6,8,4,False
2012-05-06,49,17,6,7,4,False
2012-05-13,52,16,6,7,4,False
